總機構代號,機構代號,機構名稱,地址,電話,負責人,異動日期,金融機構網址,lat,lng,市鎮鄉村里,area1,area2,area3
004,,臺灣銀行,台北市中正區重慶南路一段120號,02-23493456,,2019-11-11,'http://www.bot.com.tw,25.0414699,121.512912,台灣台北市中正區建國里,台北市,中正區,建國里
004,0040037,臺灣銀行營業部,台北市中正區重慶南路一段120號,02-23493456,何明堯,2016-04-20,,25.0414699,121.512912,台灣台北市中正區建國里,台北市,中正區,建國里
004,0040059,臺灣銀行公庫部,台北市中正區貴陽街一段120號,02-23494123,謝娟娟,2018-07-26,,25.038992,121.5084207,台灣台北市中正區建國里,台北市,中正區,建國里
004,0040071,臺灣銀行館前分行,台北市中正區館前路49號,02-23812949,胡心慈,2011-12-30,,25.0448979,121.5151541,台灣台北市中正區黎明里,台北市,中正區,黎明里
004,0040082,臺灣銀行信託部,台北市中正區武昌街一段49號,02-23493456,吳慕瑛,2018-02-06,,25.044282,121.5109,台灣台北市中正區光復里,台北市,中正區,光復里
004,0040093,臺灣銀行臺南分行,台南市中西區府前路一段155號,06-2160168,鄭調鄉,2011-12-30,,22.9889112,120.2066098,台灣台南市中西區郡王里,台南市,中西區,郡王里
004,0040107,臺灣銀行臺中分行,台中市西區自由路一段140號,04-22224001,温哲選,2011-12-30,,24.1364059,120.6786449,台灣台中市西區民生里,台中市,西區,民生里
004,0040118,臺灣銀行高雄分行,高雄市前金區中正四路264號,07-2515131,鄭恩賜,2011-12-30,,22.627948,120.290764,台灣高雄市前金區後金里,高雄市,前金區,後金里
004,0040129,臺灣銀行基隆分行,基隆市中正區義一路16號,02-24247113,江仁湧,2012-01-09,,25.1312739,121.7449256,台灣基隆市中正區港通里,基隆市,中正區,港通里
004,0040130,臺灣銀行中興新村分行,南投縣南投市中興新村光華路11號,049-2332101,劉慶桐,2012-01-10,,23.955801,120.688744,台灣南投縣南投市光華里,南投縣,南投市,光華里
004,0040141,臺灣銀行嘉義分行,嘉義市中山路306號,05-2224471,張國強,2012-01-10,,23.4800008,120.4486629,台灣嘉義市西區國華里,嘉義市,西區,國華里
004,0040152,臺灣銀行新竹分行,新竹市林森路29號,03-5266161,朱錫欽,2012-01-10,,24.8017489,120.969265,台灣新竹市東區成功里,新竹市,東區,成功里
