NAME,ADDRESS,CAR_NUM,MOTOR_NUM,lat,lng
西門地下停車場,桃園區四維路39號,548,0,24.9596688,121.2307764
桃園市公有府前地下停車場,桃園區縣府路1號,334,76,24.9929026,121.3010601
新民立體停車場,桃園市桃園區民權路32號,191,0,24.9928948,121.3107999
衛生福利部桃園醫院停車場,桃園市桃園區中山路1492號,151,332,24.9777031,121.2691911
衛生福利部桃園療養院停車場,桃園市桃園區龍壽街71號,219,0,24.9795463,121.2688905
桃園市大檜溪公園地下室停車場,桃園區興一街65巷50號,65,0,25.0142131,121.3161394
桃園市朝陽公園停車場,桃園市鎮撫街朝陽公園內號,45,0,25.0000548,121.3115241
桃園市陽明公園停車場,桃園區長沙街與介壽路交叉口陽明公園內號,64,157,24.9813843,121.3094936
桃園市宏昌六街停車場,桃園區宏昌六街與泰昌八街交叉口號,72,0,24.9870685,121.2921255
桃園新埔平面停車場,桃園區南平路與新埔六街口(同德段1號,109,0,25.015665,121.2985827
桃園市三民公園停車場,桃園市三元街與三民路2段交叉口號,81,0,25.0012971,121.3170744
桃園市建國公園停車場,桃園市建國路與建成街交叉口號,23,0,24.9873554,121.3165448
建國停車場,桃園區建國段842號,105,0,24.9934099,121.2969674
青溪停車場,桃園區青溪段1號,65,0,24.9996377,121.3179664
龍安一停車場,桃園區龍安段359號,17,0,24.9882174,121.2808064
龍安二停車場,桃園區龍安段218號,20,0,24.9882174,121.2808064
三聖停車場,桃園區三聖段630號,20,0,25.0009976,121.3319309
六合停車場,桃園市桃園區寶慶路403巷12弄5號,180,0,25.0180649,121.2901891
桃園車站停車場,桃園區延平段2號,91,800,24.9926913,121.2822809
沃瑪停車場,桃園市桃園區莊一街186號,250,0,25.0208461,121.2908293
Times桃園縣府前停車場,桃園市桃園區中路段1670-4號,32,0,24.9889297,121.2602597
遠東百貨股份有限公司桃園分公司停車場,桃園區中正路20號,172,0,24.9897388,121.3137948
新光三越百貨停車場(大有店),桃園市桃園區大有路189號,178,0,25.0081315,121.3200278
敏盛醫控股份有限公司停車場,桃園區經國路168號,320,0,25.0163919,121.3063525
新光三越百貨停車場(桃園站前店),桃園市桃園區中正路19號,204,0,24.9900164,121.3126097
桃園車站二停車場,桃園區大樹林段2098號,116,83,24.985073,121.313811
沃瑪停車場中埔站,桃園市桃園區中埔六街123號,92,0,25.0177756,121.2953884
同德二停車場,桃園區同德五街(近新埔六街)桃園區同德段53號,33,0,25.0148695,121.2958947
路停站前停車場,桃園區桃園區大同路77-3號,104,420,24.9890384,121.3110943
上吉停車場,桃園市桃園區桃園監理站旁號,30,0,24.9789098,121.3030184
宏谷春日停車場,桃園市桃園區汴洲里塩庫西街85號,131,0,25.0240852,121.3057273
Times桃園中正路停車場,桃園區埔子段埔子小段1748-1號,50,0,25.0204325,121.2759989
同安停車場,桃園市桃園區同安街336巷75號,11,0,25.0177409,121.304498
Times桃園大華八街停車場,桃園區埔子段埔子小段2028-42號,13,0,25.010468,121.287966
耐克力停車場,桃園市桃園區新埔段1021號,24,0,25.0153026,121.3038834
Times桃園大興路停車場,桃園市桃園區春日段1146號,27,0,25.0217611,121.3078146
Times桃園大業路停車場,桃園市桃園區大業路二段66號,15,0,25.0176474,121.3111212
坤慶公園地下停車場,中壢區溪洲路288號,32,0,24.9622768,121.2299584
中原國小地下停車場,中壢區中北路88號,423,0,24.9562634,121.2381042
中壢自強立體停車場,中壢區強國路66號,314,325,24.9678443,121.2580278
中壢內壢站,中壢區仁愛段1047號,49,0,24.9721514,121.2053963
光明停車場,中壢區民權路與光輝二街交叉(三座屋段舊社小段97-4號,49,0,24.9630318,121.2174814
中北健行停車場,中壢區中北路二段151號,144,299,24.9522565,121.2268763
中央地下停車場,中壢區中央東路83號,299,127,24.9564466,121.2262953
廣停一停車場,中壢區六和路與九和六街路口(新街段868號,77,20,24.9650314,121.2245044
銀河廣場地下停車場,中壢區九和一街35號,145,596,24.9618765,121.2238289
興國公有零售市場3、4樓立體停車場,中壢區中豐路96號,142,0,24.9621643,121.2194407
中壢復興站,中壢區復興段2074號,66,0,24.9764803,121.24976
中壢忠孝站,中壢區忠孝段1314號,92,0,24.9769406,121.2555595
高鐵桃園停車場,中壢區高鐵北路一段6號,996,627,25.0130119,121.2147751
太平洋崇光百貨(股)公司停車場,中壢區元化路357號,354,0,24.9626957,121.2238507
明德停車場,中壢區中正路389號,45,0,24.9554735,121.2153259
桃客大樓停車場,中壢區復興路51號,221,0,24.9570549,121.225382
百老匯室內停車場,中壢區新生路192號,194,0,24.9616506,121.2231323
海華世紀停車場,中壢區九和一街70號,219,0,24.9615519,121.2247624
麗緻立體停車塔,中壢區元化路268號,40,0,24.9619128,121.2252101
御奠園停車場(第一期),中壢區忠福段83號,319,0,24.9763656,121.2346268
御奠園停車場(第二、三期),中壢區忠福段83號,79,0,24.9763656,121.2346268
中壢世貿財星停車場,中壢區中央西路一段120號,138,0,24.9586168,121.2203265
東高青埔停車場,中壢區青峰路一段與青心路口(青昇段415號,158,14,25.0149874,121.218944
Times中原夜市停車場,中壢區中北路63號,76,0,24.956248,121.23723
中壢莊敬站,中壢區自立段39-1號,0,220,24.9713841,121.2183004
台灣聯通中壢中和路停車場,中壢區中和路30號,33,0,24.955023,121.227954
強國停車場,中壢區強國路139巷21號,17,0,24.9669912,121.256333
中大壢中尚義村自動收費停車場,中壢區中央西路二段266號,130,0,24.961014,121.211463
龍翔街停車場,中壢區龍翔街1巷2弄旁號,176,0,24.9432814,121.2310192
中北停車場,中壢區中北路與健行路路口號,51,140,24.9518082,121.2265002
Times中壢新明路停車場,中壢區中央西路二段124號,3,0,24.958773,121.214347
華興停車場,中壢區龍岡路二段321巷39弄75號,138,0,24.9424038,121.2331812
後興停車場,中壢區後興路二段與環中東路二段路口號,309,107,24.9453529,121.230732
廣北平面停車場,平鎮區民族路與廣成街口號,119,0,24.9568654,121.2089664
廣南平面停車場,平鎮區環南路與延平路轉角號,80,0,24.9431737,121.2072508
新榮平面停車場,平鎮區三崇段1號,36,0,24.9457435,121.214528
廣興停車場,桃園市平鎮區崇義三街6巷內號,67,0,24.9455317,121.2059335
廣泰停車場,桃園市平鎮區崇義三街6巷內號,31,0,24.9455317,121.2059335
廣明停車場,桃園市平鎮區廣東段879號,26,0,24.912203,121.2109723
壢新停車場,桃園市平鎮區廣泰路75號,250,0,24.9470753,121.2055572
八德區公有廣停一停車場,八德區廣福路42號,207,0,24.9588985,121.2981384
呂萬和停車場,八德市華興段864號,43,0,24.9626789,121.3040669
Times八德中路街停車場,桃園市八德區中路街21號,49,0,24.9615891,121.2940698
橋頭停車場,大溪區栗子園大溪橋旁堤外高灘地及堤內防汛道路號,584,0,24.8851019,121.2826078
兩蔣文化園區慈湖遊客中心暨慈湖廣場附屬停車場,大溪區復興路一段1097號,208,0,24.8403651,121.2942711
公所前停車場,大溪鎮普濟路與得勝路交叉口號,56,0,24.8807168,121.2872311
南崁公一地下停車場,蘆竹區仁愛路一段2號,586,0,25.0508645,121.2935354
大新平面停車場,蘆竹區大新路與大新一街交叉口(大新路43號,28,0,25.0247862,121.2568622
台茂購物中心停車場,蘆竹區南崁路一段112號,2585,1615,25.0536603,121.2885645
特力家居停車場,蘆竹鄉中正路1號,516,0,25.0401823,121.2947327
HVW經國方略商辦大樓停車場,桃園市蘆竹區經國路908號,30,0,25.0336318,121.3010061
W1停車場,蘆竹鄉忠孝東路52及56號,135,175,25.0454146,121.2948158
長庚醫院復健停車場,桃園市龜山區復興街5-6號,704,400,25.0616876,121.3675081
桃園長庚紀念醫院停車場,桃園市龜山區舊路里頂湖路123號,1166,330,25.030638,121.366919
長庚醫院病理停車場,桃園市龜山區復興街5號,588,0,25.0605178,121.3684133
瑞樺企業停車場,桃園縣龜山鄉舊路村8鄰振興路749巷1弄19號,33,0,25.017807,121.3611365
