學校代碼,學校名稱,日間∕進修別,等級別,上學年畢業生男,上學年畢業生女,縣市名稱,體系別,stu_sum,lat,lng
1,國立政治大學,N 職,M 碩士,199,202,30 臺北市,1 一般,3860,24.986169399999998,121.5771149
2,國立清華大學,N 職,M 碩士,149,174,18 新竹市,1 一般,4287,24.7961217,120.9966699
3,國立臺灣大學,N 職,M 碩士,267,185,30 臺北市,1 一般,7935,25.0173405,121.53975179999999
4,國立臺灣師範大學,N 職,M 碩士,117,345,30 臺北市,3 師範,3479,25.0261538,121.52748670000001
5,國立成功大學,N 職,M 碩士,219,141,21 臺南市,1 一般,5709,22.998841600000002,120.2195148
6,國立中興大學,P 進,B 學士,68,110,19 臺中市,1 一般,3887,24.123552,120.675326
7,國立交通大學,N 職,M 碩士,245,137,18 新竹市,1 一般,3747,24.7860984,120.99972659999999
8,國立中央大學,N 職,M 碩士,263,192,03 桃園市,1 一般,3347,24.967996600000003,121.19220290000001
9,國立中山大學,N 職,M 碩士,161,145,50 高雄市,1 一般,2456,22.628388,120.26473700000001
12,國立臺灣海洋大學,P 進,B 學士,51,44,17 基隆市,1 一般,2172,25.150544699999998,121.7757756
13,國立中正大學,N 職,M 碩士,168,202,10 嘉義縣,1 一般,2975,23.563376100000003,120.4728831
14,國立高雄師範大學,N 職,M 碩士,129,202,50 高雄市,3 師範,1519,22.6236618,120.3210567
15,國立彰化師範大學,N 職,M 碩士,170,186,07 彰化縣,3 師範,1945,24.0812771,120.55873770000001
16,國立陽明大學,N 職,M 碩士,10,30,30 臺北市,1 一般,1095,25.123002,121.513702
17,國立臺北大學,P 進,B 學士,166,301,01 新北市,1 一般,2403,24.943841100000004,121.370802
18,國立嘉義大學,P 進,B 學士,260,191,20 嘉義市,1 一般,2923,23.468194399999998,120.484174
19,國立高雄大學,N 修,C 二技,31,26,50 高雄市,2 技職,1342,22.734143300000003,120.2849143
20,國立東華大學,N 職,M 碩士,43,49,15 花蓮縣,1 一般,2185,23.8975385,121.54180179999999
21,國立暨南國際大學,N 職,M 碩士,49,60,08 南投縣,1 一般,1438,23.9511431,120.9306649
22,國立臺灣科技大學,N 修,C 二技,0,3,30 臺北市,2 技職,3146,25.0132583,121.54056090000002
23,國立雲林科技大學,N 職,M 碩士,133,96,09 雲林縣,2 技職,2625,23.6960596,120.5340433
24,國立屏東科技大學,N 修,B 四技,144,176,13 屏東縣,2 技職,2731,22.6433454,120.60982659999998
25,國立臺北科技大學,N 修,C 二技,54,18,30 臺北市,2 技職,3496,25.0422329,121.53549740000001
28,國立臺北藝術大學,N 職,M 碩士,14,36,30 臺北市,1 一般,610,25.1325182,121.4696818
29,國立臺灣藝術大學,P 進,B 學士,99,255,01 新北市,1 一般,1316,25.0058674,121.44756070000001
30,國立臺東大學,P 進,B 學士,10,17,14 臺東縣,1 一般,1041,22.736570999999998,121.067897
31,國立宜蘭大學,P 進,B 學士,40,28,02 宜蘭縣,1 一般,1343,24.7462462,121.7477007
32,國立聯合大學,P 進,B 學士,138,109,05 苗栗縣,1 一般,1747,24.545804399999998,120.81232
33,國立虎尾科技大學,N 修,C 二技,24,28,09 雲林縣,2 技職,2410,23.7026129,120.4294895
35,國立臺南藝術大學,N 職,M 碩士,2,2,11 臺南市,1 一般,245,23.1860115,120.3743165
36,國立臺南大學,P 進,B 學士,5,7,21 臺南市,1 一般,1378,22.9847814,120.20799779999999
37,國立臺北教育大學,N 職,M 碩士,58,221,30 臺北市,3 師範,1345,25.023387,121.54534459999999
39,國立臺中教育大學,N 職,M 碩士,31,146,19 臺中市,3 師範,1180,24.1436581,120.6718274
42,國立澎湖科技大學,N 修,B 四技,19,34,16 澎湖縣,2 技職,669,23.5745775,119.5810053
43,國立勤益科技大學,N 修,C 二技,5,1,06 臺中市,2 技職,2610,24.1436055,120.73171809999998
44,國立體育大學,N 修,C 二年制,19,6,03 桃園市,1 一般,527,25.0351268,121.3839182
46,國立臺北護理健康大學,N 修,C 二技,2,211,30 臺北市,2 技職,1471,25.1175924,121.5210676
47,國立高雄餐旅大學,N 修,2 二專,4,3,50 高雄市,2 技職,1347,22.5632539,120.37238219999999
48,國立金門大學,P 進,B 學士,77,69,71 金門縣,1 一般,956,24.448149899999997,118.32253500000002
49,國立臺灣體育運動大學,P 進,B 學士,46,18,19 臺中市,1 一般,657,24.1486798,120.6876707
50,國立臺中科技大學,N 修,2 二專,0,9,19 臺中市,2 技職,3483,24.1497433,120.68377120000001
51,國立臺北商業大學,N 修,2 二專,1,0,30 臺北市,2 技職,1781,25.041890300000002,121.5256203
52,國立屏東大學,P 進,B 學士,44,48,13 屏東縣,1 一般,2020,22.665905300000002,120.5048409
53,國立高雄科技大學,N 修,C 二技,47,70,50 高雄市,2 技職,6717,22.755651800000003,120.33209790000001
144,國立臺灣戲曲學院,N 修,B 四技,10,9,30 臺北市,2 技職,133,25.0819234,121.586525
221,國立臺南護理專科學校,N 修,2 二專,2,25,21 臺南市,2 技職,401,22.995665600000002,120.207567
222,國立臺東專科學校,N 修,2 二專,12,12,14 臺東縣,2 技職,313,22.7586954,121.1226973
1001,東海大學,P 進,B 學士,67,45,19 臺中市,1 一般,3814,24.1798677,120.604492
1002,輔仁大學,P 進,B 學士,288,619,01 新北市,1 一般,6232,25.0334487,121.43347560000001
1003,東吳大學,P 進,B 學士,56,145,30 臺北市,1 一般,3565,25.094414999999998,121.545748
1004,中原大學,N 職,M 碩士,147,96,03 桃園市,1 一般,3851,24.957537,121.2410215
