縣市代碼,縣市名稱,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員,lat,lng,stu_sum,stu_sum_lastyear,staff_sum
1,新北市,010301,國立華僑中學,1,1,1,6,7,9,12,9,13,6,7,0,0,0,0,25.0075,121.4477778,56,13,0
1,新北市,011301,私立淡江高中附設國中部,8,8,8,182,126,155,150,172,122,162,133,0,0,0,0,25.1762507,121.437164,907,295,0
1,新北市,011302,私立康橋實驗高中附設國中部,8,8,8,160,132,145,154,171,148,162,144,0,0,0,0,25.079564,121.395793,910,306,0
1,新北市,011306,私立金陵女中附設國中部,9,9,9,0,374,0,397,0,395,0,380,0,0,0,0,25.04299,121.466942,1166,380,0
1,新北市,011307,私立裕德實驗高中附設國中部,5,5,4,80,61,64,48,47,45,45,29,0,0,0,0,24.9830118,121.4394801,345,74,0
1,新北市,011309,私立南山高中附設國中部,22,22,20,575,409,543,410,487,371,493,337,0,0,0,0,25.0016594,121.5036507,2795,830,0
1,新北市,011310,私立恆毅高中附設國中部,9,10,11,291,124,319,99,349,114,361,147,0,0,0,0,25.0366541,121.4537324,1296,508,0
1,新北市,011311,私立聖心女中附設國中部,5,5,5,0,229,0,190,0,231,0,214,0,0,0,0,25.13562,121.449122,650,214,0
1,新北市,011312,私立崇義高中附設國中部,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,25.079564,121.395793,1,0,0
1,新北市,011314,私立中華高中附設國中部,1,1,0,9,3,5,3,0,0,0,0,0,0,0,0,24.975578,121.4374135,20,0,0
1,新北市,011316,私立格致高中附設國中部,7,6,7,180,86,134,80,171,89,171,79,0,0,0,0,25.0738323,121.4886747,740,250,0
1,新北市,011317,私立醒吾高中附設國中部,1,1,2,12,6,16,18,28,30,24,14,0,0,0,0,25.079564,121.395793,110,38,0
1,新北市,011318,私立徐匯高中附設國中部,3,3,4,129,0,134,0,133,0,174,0,0,0,0,0,25.080107,121.480124,396,174,0
1,新北市,011322,私立崇光女中附設國中部,7,7,7,12,255,18,269,18,285,6,291,0,0,0,0,24.971809,121.539078,857,297,0
