縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女,lat,lng,stu_sum,stu_sum_lastyear,staff_sum
30,臺北市,400144,國立臺灣戲曲學院附設高職,29,45,0,0,0,0,21,146,280,48,103,25.0819234,121.586525,426,151,74
14,臺東縣,140222,國立臺東專科學校附設高職,35,37,0,0,8,3,36,598,273,118,47,22.7579117,121.1243815,871,165,83
1,新北市,010301,國立華僑高級中等學校,49,87,6,4,7,19,48,654,866,215,276,25.0075,121.4477778,1520,491,172
1,新北市,011301,私立淡江高中,37,68,0,0,7,15,34,507,555,247,252,25.1762507,121.437164,1062,499,127
1,新北市,011302,私立康橋高中,22,26,0,0,1,3,18,400,361,105,137,24.9120394,121.4958652,761,242,52
1,新北市,011306,私立金陵女中,25,78,1,3,3,19,17,0,737,0,350,25.04299,121.466942,737,350,129
1,新北市,011307,新北市裕德高級中等學校,14,32,2,8,10,13,7,44,36,20,18,24.9830118,121.4394801,80,38,79
1,新北市,011309,財團法人南山高中,103,116,8,11,10,25,38,1031,684,391,242,25.0016594,121.5036507,1715,633,273
1,新北市,011310,財團法人恆毅高中,39,58,3,3,8,15,18,487,261,179,110,25.0366541,121.4537324,748,289,126
1,新北市,011311,私立聖心女中,12,40,0,0,2,13,9,0,335,0,127,25.13562,121.449122,335,127,67
1,新北市,011314,財團法人中華高中,18,15,9,6,3,6,16,363,70,176,40,24.975578,121.4374135,433,216,57
1,新北市,011315,私立東海高中,15,24,22,10,5,13,27,781,162,411,114,25.0647366,121.4788449,943,525,89
1,新北市,011316,私立格致高中,51,43,6,4,7,10,32,633,296,317,157,25.0738323,121.4886747,929,474,121
1,新北市,011317,私立醒吾高中,22,26,6,7,7,15,33,420,468,219,230,25.079564,121.395793,888,449,83
1,新北市,011318,私立徐匯高中,13,26,0,0,5,7,9,304,0,174,0,25.080107,121.480124,304,174,51
1,新北市,011322,財團法人崇光女中,15,66,0,0,1,12,13,0,500,0,261,24.971809,121.539078,500,261,94
1,新北市,011323,私立光仁高中,35,57,7,7,7,14,17,378,311,106,135,25.0183052,121.4764718,689,241,127
1,新北市,011324,私立竹林高中,66,78,1,7,4,17,30,553,424,207,246,24.9799565,121.5057743,977,453,173
1,新北市,011325,私立及人高中,14,16,0,0,0,5,6,119,74,71,50,24.966799,121.51489,193,121,35
1,新北市,011329,財團法人辭修高中,25,47,3,2,17,21,12,287,179,139,92,24.932696,121.407931,466,231,115
1,新北市,011330,新北市林口康橋國際高中,24,31,1,0,24,27,10,123,122,0,0,25.0741868,121.389928,245,0,107
1,新北市,011399,私立時雨高中,51,31,0,0,11,18,15,373,240,138,80,25.1095045,121.8552909,613,218,111
1,新北市,013303,市立泰山高中,84,81,0,0,16,18,70,1783,624,367,180,25.057789,121.429729,2407,547,199
1,新北市,013304,市立板橋高中,51,92,13,16,2,19,60,1191,1146,376,380,25.012041,121.4590137,2337,756,193
1,新北市,013335,市立新店高中,38,88,6,7,2,17,51,945,965,306,320,24.975506,121.532082,1910,626,158
1,新北市,013336,市立中和高中,40,87,0,0,4,15,54,1171,892,287,297,24.994112,121.478471,2063,584,146
1,新北市,013337,市立新莊高中,55,80,3,5,4,14,57,1090,1057,340,327,22.6813675,120.3175826,2147,667,161
1,新北市,013338,市立新北高中,45,70,0,0,11,9,51,933,943,246,323,25.0874536,121.489796,1876,569,135
1,新北市,013339,市立林口高中,45,60,0,0,1,16,45,729,852,222,265,25.0732029,121.3805242,1581,487,122
1,新北市,014302,市立海山高中,81,194,0,0,5,19,33,665,553,190,218,25.0096689,121.4712073,1218,408,299
1,新北市,014311,市立三重高中,46,116,5,8,5,12,42,655,772,201,252,25.054741,121.4914967,1427,453,192
1,新北市,014315,市立永平高中,45,112,0,0,6,13,36,617,690,163,218,25.0105828,121.5083843,1307,381,176
1,新北市,014322,市立樹林高中,69,153,0,0,5,15,49,658,830,207,282,24.9829633,121.4223883,1488,489,242
1,新北市,014326,市立明德高中,66,88,2,10,7,15,36,625,567,128,195,24.9038379,121.365725,1192,323,188
1,新北市,014332,市立秀峰高中,59,112,0,0,4,12,33,453,536,130,157,25.0657829,121.6608704,989,287,187
1,新北市,014338,市立金山高中,37,59,0,0,4,9,18,223,253,75,77,25.224676,121.637008,476,152,109
1,新北市,014343,市立安康高中,47,99,0,0,5,13,33,502,553,173,173,24.9694528,121.5153,1055,346,164
1,新北市,014347,市立雙溪高中,29,37,0,0,4,10,15,164,135,42,62,25.0349052,121.8632554,299,104,80
1,新北市,014348,市立石碇高中,26,47,0,0,5,6,18,246,248,78,105,25.0141303,121.6429468,494,183,84
1,新北市,014353,市立丹鳳高中,74,152,0,0,6,13,30,537,543,163,176,25.021049,121.416544,1080,339,245
1,新北市,014356,市立清水高中,74,146,14,18,2,15,44,698,712,212,236,24.2652825,120.5740941,1410,448,269
1,新北市,014357,市立三民高中,64,152,19,23,1,18,46,753,765,222,269,25.0868693,121.4737065,1518,491,277
1,新北市,014362,市立錦和高中,50,131,6,14,4,12,33,569,539,161,182,24.992544,121.491084,1108,343,217
1,新北市,014363,市立光復高中,40,83,0,0,1,11,21,320,383,82,130,25.0167462,121.4822165,703,212,135
1,新北市,014364,市立竹圍高中,41,66,0,0,1,10,21,437,348,125,115,25.1459534,121.461587,785,240,118
1,新北市,014381,市立北大高級中學,24,50,0,0,2,7,18,363,347,104,105,24.948248,121.3764596,710,209,83
1,新北市,014399,市立豐珠中學,3,11,0,0,3,4,1,0,7,0,0,25.0656443,121.9018436,7,0,21
2,宜蘭縣,020301,國立蘭陽女中,39,58,0,0,2,17,42,0,1399,1,507,24.7453914,121.753373,1399,508,116
2,宜蘭縣,020302,國立宜蘭高中,62,46,2,3,7,13,44,1393,171,467,63,24.751424,121.7417203,1564,530,133
2,宜蘭縣,020308,國立羅東高中,37,61,0,0,7,11,42,685,730,207,293,24.6807286,121.761905,1415,500,116
2,宜蘭縣,021301,私立慧燈高中,50,48,0,0,14,14,20,522,281,183,116,24.777028,121.7155386,803,299,126
2,宜蘭縣,021310,私立中道高中,22,13,0,0,7,6,8,182,84,99,64,24.7597787,121.7937987,266,163,48
2,宜蘭縣,024322,縣立南澳高中,27,25,0,0,2,7,9,116,64,18,24,24.465902,121.801868,180,42,61
2,宜蘭縣,024325,縣立慈心華德福實中,13,17,0,0,5,9,3,40,58,11,17,24.6268113,121.795708,98,28,44
3,桃園市,030305,國立中央大學附屬中壢高中,64,81,20,32,4,19,60,1200,1090,407,360,24.962072,121.211168,2290,767,220
3,桃園市,031301,私立漢英高中,6,1,11,3,9,8,6,57,29,29,21,24.8481652,121.2453306,86,50,38
3,桃園市,031309,桃園市育達高中,69,112,10,30,11,16,146,2213,2931,853,1221,24.95191,121.209124,5144,2074,248
3,桃園市,031310,私立六和高中,46,81,0,0,8,15,30,671,443,278,161,24.9453453,121.1858942,1114,439,150
3,桃園市,031311,桃園市復旦高中,53,96,0,0,6,17,36,903,768,286,248,24.948372,121.203082,1671,534,172
3,桃園市,031312,桃園市治平高中,93,101,62,29,8,31,137,2969,2279,1095,966,24.9158677,121.1886835,5248,2061,324
3,桃園市,031313,桃園市振聲高中,66,101,16,10,4,23,72,1285,1932,456,622,24.9905152,121.3022615,3217,1078,220
