id,name,address,lat,lng
1,內湖二店,台北市內湖區舊宗路一段188號,25.0629017,121.5758964
2,中和店,新北市中和區中山路二段228號B2,25.0029495,121.4987411
3,土城店,新北市土城區永安街25號,24.9637981,121.4342727
4,碧潭店,新北市新店區環河路22號B1,24.9619585,121.537275
5,景平店,新北市中和區景平路182號B2,24.9924249,121.5163839
6,中崙店,台北市八德路2段306號B2,25.0468657,121.5425963
7,大潤發便利店 雙十店,新北市板橋區雙十路二段26號,25.0272679,121.4763709
8,內湖一店(改裝中暫停營業),台北市內湖區舊宗路一段128號,25.0609683,121.5780389
9,平鎮店,桃園市平鎮區南東路57-1號,24.9204472,121.2132136
10,湳雅店,新竹市湳雅街97號,24.8181856,120.9707066
11,忠孝店,新竹市忠孝路300號,24.8052292,120.9845166
12,中壢店,桃園市中壢區中北路二段468號,24.9542547,121.2345566
13,頭份店,苗栗縣頭份鎮自強路230號,24.6864537,120.9046329
14,八德店,桃園市八德區介壽路二段148號,24.9541056,121.2981385
15, 忠明店台中市忠明路499號,台中市忠明路499號,24.16341,120.6719255
16,斗南店,雲林縣斗南鎮西岐里文化街119巷21號,23.6835384,120.4782341
17,員林店,彰化縣埔心鄉瓦南村中山路319號,23.9472261,120.563704
18,嘉義店,嘉義市西區博愛路二段281號,23.4781873,120.438057
19,台南店,台南市北區臨安路二段310號,23.0044879,120.2035687
20,佳里店,台南市佳里區民安里同安寮80之2號,23.1668604,120.1968731
21,鳳山店,高雄市鳳山區文化路59號,22.6336596,120.3548936
22,台東店,台東市中興路三段592號,22.7715542,121.1086724
