公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,lat,lng,市鎮鄉村里,area1,area2,area3
22555003,統一超商股份有限公司,1846195,台北市第一七０分公司,臺北市士林區文林路一六九號,1,25.0895302,121.5268423,台灣台北市士林區仁勇里,台北市,士林區,仁勇里
22555003,統一超商股份有限公司,16080140,台北巿第三四二分公司,臺北市松山區健康路224號,1,25.0538382,121.5610997,台灣台北市松山區東光里,台北市,松山區,東光里
22555003,統一超商股份有限公司,16080155,台北縣第２５５分公司,新北市三峽區永館里９鄰民生街１０２號,3,24.9355849,121.3738369,台灣新北市三峽區永舘里,新北市,三峽區,永舘里
22555003,統一超商股份有限公司,16080161,台北縣第２５６分公司,新北市三峽區鳶山里十二鄰中山路１８６號,1,24.936901,121.363915,台灣新北市三峽區鳶山里,新北市,三峽區,鳶山里
22555003,統一超商股份有限公司,16080177,新竹市第２６分公司,新竹市民富里７鄰北大路３４２號,1,24.8058911,120.9617037,台灣新竹市北區民富里,新竹市,北區,民富里
22555003,統一超商股份有限公司,16080182,新竹市第２７分公司,新竹巿新民里北大路２８６號,3,24.8071671,120.963422,台灣新竹市北區新民里,新竹市,北區,新民里
22555003,統一超商股份有限公司,16080198,新竹巿第二十八分公司,新竹巿金華里９鄰田美三街五十號,3,24.8151258,120.9768166,台灣新竹市東區文華里,新竹市,東區,文華里
22555003,統一超商股份有限公司,16080253,高雄巿第１５２分公司,高雄市小港區鳳源里鳳林路181號,1,22.527242,120.344122,台灣高雄市小港區鳳源里,高雄市,小港區,鳳源里
22555003,統一超商股份有限公司,16080269,高雄巿第１５１分公司,高雄市前鎮區草衙里后安路１４６號,1,22.573923,120.32294,台灣高雄市前鎮區草衙里,高雄市,前鎮區,草衙里
22555003,統一超商股份有限公司,16080275,桃園縣第４５分公司,桃園市蘆竹區南山路三段306號,1,25.085279,121.286504,台灣桃園市蘆竹區山腳里,桃園市,蘆竹區,山腳里
22555003,統一超商股份有限公司,16080280,高雄巿第１５３分公司,高雄市三民區九如一路４４６號,3,22.6389931,120.3298279,台灣高雄市三民區寶安里,高雄市,三民區,寶安里
22555003,統一超商股份有限公司,16080296,高雄巿第３５分公司,高雄市左營區新下里華夏路２５６號,1,22.670436,120.297013,台灣高雄市左營區新下里,高雄市,左營區,新下里
22555003,統一超商股份有限公司,16080303,台南市第七十分公司,臺南市新化區協興里中山路624號,1,23.0367929,120.2995195,台灣台南市新化區協興里,台南市,新化區,協興里
22555003,統一超商股份有限公司,16080319,宜蘭縣第6分公司,宜蘭縣羅東鎮南昌街53巷6-3號,1,24.6717369,121.7738241,台灣宜蘭縣羅東鎮南昌里,宜蘭縣,羅東鎮,南昌里
22555003,統一超商股份有限公司,16080325,台南市第九十分公司,臺南市新營區民治東路1號,1,23.3109727,120.3226228,台灣台南市新營區大宏里,台南市,新營區,大宏里
22555003,統一超商股份有限公司,16080330,雲林縣第１９分公司,雲林縣北港鎮華勝里公園路二十二號,3,23.5759236,120.302446,台灣雲林縣北港鎮新街里,雲林縣,北港鎮,新街里
22555003,統一超商股份有限公司,16080346,苗栗縣第１２分公司,苗栗縣苗栗市嘉盛里十鄰為公路７４１號,3,24.5775583,120.8332801,台灣苗栗縣苗栗市嘉盛里,苗栗縣,苗栗市,嘉盛里
22555003,統一超商股份有限公司,16080351,苗栗縣第１１分公司,苗栗縣頭份市忠孝里十二鄰信東路１５８號,1,24.6902507,120.90904,台灣苗栗縣頭份市自強里,苗栗縣,頭份市,自強里
22555003,統一超商股份有限公司,16080423,台中巿第一一五分公司,臺中市西屯區西墩里黎明路3段348號,1,24.182115,120.639003,台灣台中市西屯區西墩里,台中市,西屯區,西墩里
