grid,StopUID,AuthorityID,Bearing,City,StationID,StopAddress,StopName,lat,lng
159,HSZ291842,12,W,Hsinchu,130308,新竹市建功路建功高中候車亭,建功高中,24.797065,121.001682
122,HSZ291373,12,S,Hsinchu,130473,新竹市延平路二段1233巷口,營房口,24.81376,120.92827
125,HSZ291424,12,W,Hsinchu,130580,新竹市湳雅街135號,湳雅,24.81933,120.97246
122,HSZ291379,12,N,Hsinchu,130449,新竹市延平路二段1580號,冠軍廠,24.82428,120.92735
140,HSZ291757,12,E,Hsinchu,130174,新竹市中山路,中山路,24.80101,120.95948
158,HSZ303581,12,S,Hsinchu,138616,新竹市東區光復路二段101號人社院,生科館(人社院),24.789443,120.989571
175,HSZ303838,12,S,Hsinchu,138788,新竹市東區新安路,交大南大門,24.783541,120.996392
157,HSZ295449,12,N,Hsinchu,132689,新竹市高峰路65號,聖經書院,24.79279,120.97316
159,HSZ291242,12,S,Hsinchu,130209,新竹市光復路二段354號對面(候車亭),清華大學,24.79631,120.99745
104,HSZ291375,12,N,Hsinchu,130453,新竹市延平路三段206-1號,三德,24.83158,120.92913
176,HSZ303833,12,S,Hsinchu,138783,新竹市東區介壽路,金山街口,24.778178,121.018622
141,HSZ291512,12,S,Hsinchu,130523,新竹市西大路412號,西門市場,24.80322,120.96477
142,HSZ291679,12,N,Hsinchu,130381,新竹市東光路59號對面,二分局,24.80324,120.98695
157,HSZ303606,12,E,Hsinchu,132732,新竹市東區南大路371號,西大路,24.79686,120.968616
142,HSZ303597,12,N,Hsinchu,130245,新竹市東區東山路,學園商場,24.798593,120.978028
143,HSZ291682,12,E,Hsinchu,130595,新竹市建功一路85號對面,公學新城,24.80149,120.99616
125,HSZ291403,12,N,Hsinchu,130568,新竹市水田街152號,水田,24.81582,120.96778
142,HSZ296982,12,E,Hsinchu,130207,新竹市光復路二段167號,海軍新村,24.79938,120.99227
125,HSZ291664,12,E,Hsinchu,130182,新竹市光華北街6號對面,光華國中,24.81805,120.97426
146,HSZ297013,12,S,Hsinchu,130969,新竹縣竹北市高鐵七路6號,高鐵新竹站,24.80743,121.04027
140,HSZ291334,12,W,Hsinchu,130407,新竹市中山路318號,西門派出所,24.8017,120.96079
122,HSZ291368,12,N,Hsinchu,130445,新竹市延平路二段1260巷口,海口,24.81548,120.92891
125,HSZ291602,12,W,Hsinchu,130620,新竹市金竹路131號對面,金竹路,24.82401,120.97213
154,HSZ293703,12,E,Hsinchu,131807,新竹市大庄路215號,瑞光街口,24.79293,120.92358
154,HSZ300409,12,W,Hsinchu,136418,新竹市東區,大庄里活動中心,24.793056,120.920795
141,HSZ296967,12,S,Hsinchu,133841,新竹市中正路107號,地方法院,24.80757,120.96778
157,HSZ295483,12,W,Hsinchu,132729,新竹市南大路706巷對面,忠孝社區,24.79149,120.96409
141,HSZ298901,12,E,Hsinchu,135394,新竹市中華路二段518號對面,新竹下站,24.80047,120.96938
160,HSZ291618,12,W,Hsinchu,130361,新竹市裕民路24號,民享一站,24.78496,121.00893
174,HSZ303842,12,S,Hsinchu,138792,新竹市東區高翠路156號,下路北,24.781686,120.987838
159,HSZ296999,12,E,Hsinchu,133850,新竹市光復路二段296號,文教新村,24.79542,120.99878
156,HSZ291551,12,E,Hsinchu,130141,新竹市中華路三段73號,林森路口,24.79697,120.961855
141,HSZ295864,12,E,Hsinchu,133025,新竹市南大路345號,竹蓮街,24.79768,120.96949
156,HSZ293717,12,W,Hsinchu,130114,新竹市中華路三段73號,林森路口,24.79678,120.96155
145,HSZ297014,12,E,Hsinchu,133856,新竹縣文興路一段372號,文興嘉豐南路口,24.80876,121.03186
141,HSZ291420,12,W,Hsinchu,130329,新竹市北大路140巷口,北大橋,24.81034,120.96862
160,HSZ303830,12,S,Hsinchu,138782,新竹市東區關新路55號,關新公園,24.785827,121.018707
160,HSZ291239,12,E,Hsinchu,130215,新竹市光復路一段505號,科學園區別墅,24.78458,121.01426
174,HSZ303809,12,N,Hsinchu,132232,新竹市東區高峰路386巷60弄,古奇峰,24.778906,120.979719
129,HSZ297003,12,E,Hsinchu,130857,新竹縣文興路一段20號,文興嘉興路口,24.81284,121.02393
176,HSZ291258,12,W,Hsinchu,130227,新竹市光復路一段340號,仙水,24.7829,121.01873
140,HSZ291588,12,E,Hsinchu,130357,新竹市牛埔路153號,埔羌圍,24.80005,120.9509
176,HSZ303826,12,W,Hsinchu,138779,新竹市東區光復路一段283號,世界高中,24.782252,121.020146
159,HSZ291274,12,W,Hsinchu,130233,新竹市光復路二段100號(建軍停車場前),過溝,24.79276,121.00237
174,HSZ291868,12,E,Hsinchu,130546,新竹市高翠路217號,高翠,24.78012,120.98697
175,HSZ303818,12,N,Hsinchu,132241,新竹市東區新安路,同步輻射中心,24.783587,120.994429
141,HSZ298893,12,W,Hsinchu,130386,新竹市中央路109號,美術館,24.80638,120.96968
138,HSZ291365,12,E,Hsinchu,130428,新竹市延平路二段708號對面,罟寮,24.80593,120.92199
173,HSZ295505,12,W,Hsinchu,132720,新竹市明湖路920巷口斜對面,黃帝神宮,24.77117,120.97107
156,HSZ293704,12,E,Hsinchu,130140,新竹市中華路四段30號,農會,24.79658,120.95457
141,HSZ291322,12,E,Hsinchu,130107,新竹市中山路57號,城隍廟,24.80534,120.96645
125,HSZ291506,12,W,Hsinchu,130327,新竹市北大路52號,曙光女中,24.81265,120.97247
154,HSZ291555,12,W,Hsinchu,130134,新竹市元培街香山國中大門口對面,香山高中,24.78518,120.9306
157,HSZ295441,12,E,Hsinchu,132690,新竹市食品路238號,竹蓮國小,24.79623,120.97473
154,HSZ291562,12,W,Hsinchu,130342,新竹市香北路108號,大庄里,24.79174,120.92732
170,HSZ291543,12,S,Hsinchu,130122,新竹市元培街207對面,隘口,24.78273,120.93301
86,HSZ291461,12,S,Hsinchu,130505,新竹市東大路四段21號,里辦公處,24.841265,120.936121
85,HSZ291454,12,E,Hsinchu,130502,新竹市東大路四段161號,上南寮,24.84422,120.93074
158,HSZ291865,12,W,Hsinchu,130549,新竹市寶山路375號,雞蛋面,24.78739,120.98592
139,HSZ291575,12,W,Hsinchu,130334,新竹市牛埔路294號,新東藥廠,24.80011,120.94663
139,HSZ291587,12,E,Hsinchu,130354,新竹市牛埔路365號,重義橋,24.79804,120.9436
159,HSZ291295,12,E,Hsinchu,130265,新竹市建功高幹AE89號電桿對面,建功高中,24.796959996,121.0012749135
154,HSZ298912,12,N,Hsinchu,135399,新竹市元培街60巷口對面路燈編號141003,三姓橋火車站,24.78656,120.92948
139,HSZ293710,12,N,Hsinchu,131841,新竹市牛埔東路192巷21號,中埔里,24.79747,120.94495
142,HSZ291663,12,N,Hsinchu,130188,新竹市民生路62號對面,民生民族路口,24.80853,120.97843
157,HSZ295877,12,E,Hsinchu,133023,新竹市南大路445號,新竹國小,24.79611,120.96689
154,HSZ300408,12,E,Hsinchu,136417,新竹市東區,大庄里活動中心,24.792973,120.920803
126,HSZ291487,12,S,Hsinchu,130320,新竹市經國路一段442巷25號(候車亭),台大醫院新竹分院,24.81566,120.98053
129,HSZ297004,12,W,Hsinchu,130856,新竹縣文興路一段19號,文興嘉興路口,24.81272,121.02408
140,HSZ291310,12,W,Hsinchu,130088,新竹市延平路一段128、130號交界處,監獄邊,24.80432,120.95728
125,HSZ291462,12,E,Hsinchu,130520,新竹市東大路二段283號,武陵路口,24.81769,120.96354
140,HSZ291356,12,S,Hsinchu,130441,新竹市北大路西門國小門口(候車亭),西門國小,24.80244,120.96003
141,HSZ295436,12,W,Hsinchu,132662,新竹市南大路151、153號對面,警察宿舍,24.800232,120.973903
174,HSZ295432,12,W,Hsinchu,132671,新竹市高翠路210巷口,高翠,24.78032,120.98713
157,HSZ291519,12,E,Hsinchu,130528,新竹市西大路12號,高峰路口,24.7943,120.97303
159,HSZ293673,12,E,Hsinchu,131863,新竹市建功路建功高中候車亭,建功高中,24.79703,121.00128
158,HSZ291517,12,E,Hsinchu,130532,新竹市寶山路310號巷口對面,苗圃,24.78837,120.98202
142,HSZ295506,12,E,Hsinchu,132739,新竹市公園路82巷口旁(單邊),大潤發2站,24.805897,120.983924
105,HSZ291451,12,W,Hsinchu,130488,新竹市東大路三段357巷口對面,輕便車站,24.83651,120.94368
142,HSZ296979,12,E,Hsinchu,130205,新竹市光復路二段321號,工研院光復院區,24.8002,120.98913
159,HSZ291280,12,E,Hsinchu,130254,新竹市大學路1001號（行政大樓前）,交大光復校區,24.78831,120.99941
142,HSZ293779,12,W,Hsinchu,131890,新竹市忠孝路300號,大潤發1站,24.80427,120.98434
142,HSZ291703,12,W,Hsinchu,131831,新竹市水源街29號,馬偕醫院,24.80042,120.99128
143,HSZ291723,12,W,Hsinchu,130378,新竹市千甲路64號對面,水源,24.80679,120.99866
160,HSZ297001,12,S,Hsinchu,130841,新竹市慈雲路與埔頂路口西南側慈雲路上第二和第三支燈桿中間之小路燈旁,好市多,24.79374,121.0128
138,HSZ291364,12,E,Hsinchu,130429,新竹市延平路二段與浸水北街交叉口,香雅橋,24.80406,120.9259
141,HSZ291772,12,W,Hsinchu,130249,新竹市中央路146號,親仁里,24.807445,120.971667
85,HSZ291377,12,E,Hsinchu,130457,新竹市延平路三段490巷口,中寮,24.83879,120.93288
