grid,StationUID,StationID,StationName,StationAddress,BikesCapacity,lat,lng
269,TNN59,59,水萍塭公園站,夏林路與樹林街二段(客家文化會館候車亭旁),32,22.986,120.19471
270,TNN46,46,臺灣文學館站,友愛街(臺灣文學館後門),32,22.99106,120.203929
100,TNN11,11,霞客湖站,霞客湖旁停車場前人行道(南科七路),24,23.107907,120.269636
331,TNN2,2,都會公園-文賢路站,奇美博物館文賢路停車場,32,22.936039,120.228583
331,TNN3,3,保安轉運站,保安轉運站公車侯車亭旁 (文賢路一段),32,22.932706,120.230637
269,TNN21,21,水交社文化園區站,健康路一段與南門路口(西南側人行道),32,22.98077,120.20344
270,TNN22,22,體育園區站,健康路一段(忠烈祠停車場旁),28,22.98112,120.21055
101,TNN8,8,社區中心站,南科社區中心圓形廣場(大順三路),24,23.102362,120.288266
285,TNN65,65,日新國小站,金華路一段與鹽埕路口(西側人行道),32,22.9727,120.190409
345,TNN30,30,嘉南藥理大學站,嘉南藥理大學(北三機車停車場),32,22.922354,120.227335
270,TNN18,18,延平郡王祠站,開山路(東南側人行道),32,22.98867,120.20777
328,TNN39,39,萬年公園站,灣裡路與灣裡路61巷(萬年公園侯車亭旁),32,22.93306,120.18073
252,TNN31,31,成大會館站,大學路與勝利路口(路側人行道),24,22.996,120.21823
266,TNN47,47,林默娘公園站,安億路(林默娘公園停車場旁),32,22.99288,120.15693
116,TNN9,9,南科管理局站,PARK17前廣場(南科三路),24,23.098707,120.281935
268,TNN42,42,臺南市議會站,永華路二段與中華西路二段(東北側人行道),32,22.9892,120.18673
253,TNN56,56,小東公園站,小東路與林森路三段(東北側人行道),24,23.00066,120.22502
331,TNN4,4,十鼓文化村站,十鼓文化村門口前方(公車候車亭旁),32,22.938596,120.228987
252,TNN55,55,成大醫院站,小東路與勝利路(成功大學候車亭旁),24,23.00111,120.21821
287,TNN37,37,巴克禮公園站,中華東路三段(巴克禮公園侯車亭旁),32,22.97378,120.22216
232,TNN53,53,花園夜市站,海安路三段與和緯路三段(西南側人行道),32,23.01146,120.20043
102,TNN7,7,臺鐵南科站,臺鐵南科站(西出口),24,23.107922,120.301784
318,TNN54,54,台糖嘉年華站,大同路三段(台糖嘉年華候車亭旁),32,22.94772,120.21948
250,TNN19,19,民生轉運站,民生路二段與民生路二段400巷(民生轉運站),32,22.9978,120.18799
349,TNN63,63,高鐵台南站,武當路與歸仁十二路交叉口(西北側人行道),24,22.922813,120.285396
331,TNN6,6,都會公園-台1南停車場站,奇美博物館台1南停車場,32,22.933688,120.221674
269,TNN23,23,臺南市美術館,府前路一段與永福路二段口(活動中心前廣場),32,22.99001,120.20059
269,TNN28,28,健康西門路站,健康路一段與西門路一段(東北側人行道),32,22.98158,120.19748
268,TNN24,24,臺南市政府站,府前路二段與府前四街(西南側人行道),32,22.99295,120.1845
251,TNN62,62,海安正興站,海安路二段與正興街交叉口(北側人行道),24,22.994862,120.19649
249,TNN45,45,安平區公所站,育平路與育平八街(東南側人行道),32,22.9941,120.16777
270,TNN48,48,青年公園站,青年路與育樂街(東北側人行道),24,22.99139,120.21469
76,TNN69,69,善化高中站,仁愛路與大成路(南側人行道),24,23.130213,120.301753
252,TNN36,36,臺南火車站前站,車站前圓環旁(北側人行道),40,22.99773,120.2119
350,TNN64,64,交通大學(臺南校區)站,高發三路(北向人行道),24,22.924648,120.294527
284,TNN50,50,鹽埕圖書館站,新和東路(鹽埕圖書館旁),32,22.96741,120.18755
269,TNN52,52,和意路站,和意路與永福路一段223巷(西南側人行道),32,22.98824,120.1984
252,TNN60,60,臺南火車站後站,大學西路與育樂街(東南側人行道),24,22.99631,120.21495
272,TNN58,58,虎尾寮市場站,裕平路與裕和二街(西北側人行道),24,22.98514,120.24088
190,TNN66,66,台江文化中心站,安吉路一段與安中路二段(南側人行道),32,23.046183,120.187969
271,TNN57,57,東寧裕農站,東寧路與東光路一段(東側人行道),32,22.98884,120.23189
249,TNN27,27,安億停車場站,安億路(安億停車場旁),32,22.996628,120.163808
255,TNN61,61,崑山科大站,崑山科技大學(東側人行道),24,22.998309,120.253429
101,TNN10,10,南科健康生活館站,南科七路與環東路二段(南科健康生活館前人行道),24,23.114009,120.281815
271,TNN38,38,東寧運動公園站,林森路二段與東寧路口(東寧運動公園前廣場),32,22.9911,120.22463
100,TNN43,43,台積電南科站,南科北路與南科八路(西北側人行道),24,23.11439,120.27485
171,TNN40,40,臺史博館站,長和路一段與館前一路口(史博館侯車亭後側),32,23.05825,120.23285
232,TNN49,49,大興公園站,文賢路與大興街(西南側人行道),32,23.01173,120.19381
328,TNN70,70,黃金海岸站,黃金海岸遊客中心(南側廣場),32,22.930488,120.17636
300,TNN32,32,南區公所站,中華南路二段(新興國宅侯車亭旁),32,22.96151,120.18742
251,TNN20,20,赤嵌樓站,民族路二段與赤嵌街口(東北側人行道),32,22.99712,120.20213
252,TNN35,35,台南公園站(台南轉運站),公園路與公園南路口(東北側人行道),32,23.00176,120.2093
267,TNN33,33,億載金城站,光州路與光州五街路口(億載金城侯車亭旁),32,22.98894,120.16009
331,TNN5,5,都會公園-文華路站,臺南都會公園(文華路二段),32,22.937344,120.223433
271,TNN25,25,衛生局站,東門路二段與林森路一段旁(西南側人行道),28,22.98536,120.22238
250,TNN34,34,運河公園站,建平十七街及華平路口,32,22.997412,120.176864
252,TNN44,44,家庭教育中心站,公園路與公園路175巷(南區健保局候車亭旁),32,22.99707,120.20636
251,TNN51,51,海安民族站,民族路三段與海安路二段(西北側人行道),32,22.99846,120.197694
154,TNN67,67,新市火車站,車站前(東北側人行道),28,23.068398,120.290222
76,TNN68,68,善化火車站,車站前圓環旁(北側T-Bike專區),32,23.133612,120.306082
