StationName,StationAddress,BikesCapacity,lat,lng
蓮池潭站,高雄市左營區環潭路蓮池潭風景區管理所後方入口處,30,22.680599,120.297466
鳳山火車站,高雄市鳳山區曹公路與協和路交叉口,6,22.630663,120.357928
美麗島站,高雄市新興區六合二路捷運O5R10美麗島站9號出口前,40,22.632193,120.301736
棧貳庫站,棧貳庫站外停車場,14,22.618946,120.2778
西子灣站,高雄市鼓山區鼓山一路新濱派出所旁(近捷運O1西子灣站2號出口),30,22.622261,120.275466
高雄電影館站,高雄市盬埕區下水道展示館前,18,22.622573,120.289162
市議會(舊址)站,高雄市前金區中華三路與中正四路口(近捷運O4市議會站4號出口),18,22.62947,120.295631
中央公園站,高雄市前金區中山二路捷運R9中央公園站1號出口旁,52,22.623751,120.300808
獅甲站,高雄市前鎮區中山三路勞工公園內(近捷運R7獅甲站2號出口),36,22.6058,120.308565
市府四維站,高雄市苓雅區四維三路與永定街口,4,22.619958,120.311451
文化師大站,高雄市苓雅區和平一路文化中心旁,8,22.625204,120.319704
衛武營站,高雄市苓雅區中正一路、建軍路口(近捷運O10衛武營站3號出口),10,22.624937,120.341108
新興區公所站,高雄市新興區錦田路新興區公所前(近捷運O6信義國小站1號出口),36,22.630995,120.310233
後驛站,高雄市三民區博愛一路捷運R12後驛站2號出口旁,24,22.64818,120.303512
凹仔底站,高雄市鼓山區博愛二路捷運R13凹仔底站4號出口旁,8,22.658611,120.302691
生態園區站,高雄市左營區博愛三路捷運R15生態園區站2號出口旁,20,22.676996,120.306484
三多站,高雄市苓雅區中山二路與三多三路圓環處(近捷運R8三多商圈站5號出口),38,22.614348,120.30466
巨蛋站,高雄市左營區博愛二路三民家商旁(近捷運R14巨蛋站1號出口),8,22.665982,120.303109
民生圓環站,新興區榮治里中山一路距民生一路30米處,32,22.627638,120.301264
民生民權站,苓雅區德生里民權一路與民生一路東南側人行道上,34,22.627252,120.310898
七賢忠孝站,新興區成功里七賢一路距忠孝一路50米處,18,22.634204,120.305899
凱旋站,高雄市前鎮區中山三路與時代大道口(近捷運R6凱旋站3號出口),36,22.598783,120.313393
技擊館站,苓雅區中正一路與輔仁路技擊館對面(近捷運O9技擊館站2號出口),2,22.627368,120.333654
新光中山站,"高雄市前鎮區中山二路與新光路口(華爾街美語前,近捷運R8三多商圈站2號出口)",48,22.611981,120.304955
五塊厝站,苓雅區中正一路258號對面(近捷運O8五塊厝站4號出口),32,22.628955,120.328987
市警局站,前金區中正四路與市中一路(市警局前),10,22.627712,120.29068
明誠光興站,左營區明誠二路距光興街口52米處,16,22.660913,120.310678
家樂福愛河站,三民區河東路距河北二路約72米處,36,22.633976,120.285852
愛河之心站,三民區博愛一路距同盟一路約80米處,12,22.65226,120.303892
高雄醫學大學站,高雄市三民區同盟一路(高醫大學大門旁),2,22.64921,120.309919
新光成功站,高雄市前鎮區成功二路距新光路18米處,34,22.610203,120.299343
夢時代站,高雄市前鎮區成功二路與時代大道口東北側,12,22.595861,120.304928
裕誠辛亥站,左營區裕誠路與辛亥路辛亥停車場旁,38,22.664695,120.31018
文化中正站,苓雅區和平一路與中正一路捷運O7文化中心站3號出口旁,8,22.629767,120.318253
光華公園站,前鎮區民裕街與一心一路口,6,22.608549,120.316435
民權公園站,前鎮區民權二路與二聖二路民權公園旁,44,22.61362,120.313978
國賓飯店站,前金區河東路與民生二路國賓飯店旁,30,22.624053,120.290406
鹽埕埔站,鹽埕區大勇路鹽埕國小旁(近捷運O2鹽埕埔站1號出口),26,22.622587,120.283159
家樂福成功站,前鎮區中華五路與復興三路家樂福前,32,22.605003,120.30488
高雄女中站,前金區五福三路高雄女中前,8,22.62079,120.293598
中山大學站,中山大學內,0,22.624337,120.26566
科工館站,三民區九如一路科工館前,32,22.639878,120.322807
華榮公園站,鼓山區文信路與華榮路口華榮公園旁,24,22.664363,120.296876
森林公園站,鼓山區神農路與龍勝路口,42,22.657992,120.296334
美術館藝片天站,高雄市鼓山區美術東一路(中華藝術學校後面),14,22.655918,120.289135
大東文化藝術中心站-02,捷運大東站2號出口左側,0,22.625133,120.362708
大東文化藝術中心站-01,捷運大東站1號出口對面,0,22.625063,120.363416
捷運鳳山站,捷運鳳山站1號出口左邊,18,22.62594,120.355828
鳳凌廣場站,鳳凌廣場左邊,0,22.624113,120.356491
市議會(新址)站,鳳山區國泰路2段136號對面(東區稅捐稽徵處),6,22.619844,120.348068
捷運鳳山西站,捷運鳳山西站2號出口左邊人行道,24,22.625313,120.348543
市府鳳山行政中心站,澄清路與光復路二段交叉路口,6,22.62974,120.344351
澄清湖站,面對澄清湖正門左邊-意向園區,26,22.653562,120.349281
捷運小港站,捷運小港站4號出口前,18,22.564789,120.353658
餐旅高中站,餐旅高中正門右邊,24,22.566265,120.372176
社教館站,學府路與大鵬路口,32,22.565198,120.358618
班超公園站,班超路上(岡山中街與忠誠路284巷中間),4,22.600957,120.32557
高雄中學站,高雄中學大門右側,6,22.637937,120.298753
博愛國小站,十全與自由路周邊商圈,20,22.645214,120.307123
客家文物館站,客家文物會館左側,20,22.650571,120.295722
明堤公園站,明堤公園-明仁路上,54,22.662922,120.312202
微笑公園站,博愛三路與至真路交叉路口,24,22.671912,120.304348
左營國小站,左營國小側門(實踐路與軍校路交叉口),16,22.690574,120.292463
