郵遞區號,電腦局號,郵務局號,局名,電腦局名,郵務電話,儲匯電話,郵務傳真,縣市,鄉鎮市區,地址,經度,緯度,平常日提供服務,平常日延時提供服務,週六提供服務,週日提供服務,週一至週五 郵務,週一至週五 儲匯,週六,週日,提供郵務業務延時服務郵局 週一至週五,提供郵務及儲匯業務延時服務郵局 週一至週五,營業時間備註
10044,000100-6,100000,臺北北門郵局,臺北901支,(02)2361-5752,(02)2381-3135,(02)2314-9258,臺北市,中正區,忠孝西路1段120號1樓,121.511691,25.047522,○,○,○,,08:30-21:00 ,08:30-21:00 ,09:00-12:00 ,,,○,集郵營業時間週一至週五08:30-18:00<br>房貸營業時間週一至週五08:30-17:30<br>統一發票兌領時間如下:<br>1.週一至週五為08:30至17:30。<br>2.例假日請參考例假日營業時間。<br>3.例假日除頭獎及特獎外均可兌換。<br>
10064,000101-0,100001,臺北東門郵局,臺北1支,(02)2394-7576,(02)2321-4679,(02)2356-9043,臺北市,中正區,信義路2段163號,121.528888,25.034166,○,,○,,08:30-17:30 ,08:30-17:00 ,09:00-12:00 ,,,,
10846,000102-3,100002,臺北漢中街郵局,臺北2支,(02)2361-6809,(02)2331-4069,(02)2311-5674,臺北市,萬華區,漢中街173號,121.507222,25.041388,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10847,000103-7,100003,臺北西園郵局,臺北3支,(02)2331-4524,(02)2331-4524,(02)2361-0974,臺北市,萬華區,長沙街2段156、158、160、162號,121.501075,25.040750000000003,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10851,000104-1,100004,臺北龍山郵局,臺北4支,(02)2306-4755,(02)2306-4755,(02)2302-2462,臺北市,萬華區,廣州街67號,121.504722,25.036666,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10075,000105-4,100005,臺北南海郵局,臺北5支,(02)2396-3142,(02)2321-4189,(02)2356-9042,臺北市,中正區,重慶南路2段43號,121.514682,25.031703999999998,○,,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,,
10083,000106-8,100006,臺北螢橋郵局,臺北6支,(02)2368-4714,(02)2367-0905,(02)2365-9044,臺北市,中正區,廈門街76號,121.517499,25.024722,○,○,,,08:30-17:30 ,08:30-17:00 ,,,○,,
10644,000107-1,100007,臺北青田郵局,臺北7支,(02)2321-4288,(02)2321-8001,(02)2396-0048,臺北市,大安區,和平東路1段155號,121.53135,25.02665,○,,,,08:30-18:00 ,08:30-17:30 ,,,,,
10041,000108-5,100008,臺北復興橋郵局,臺北8支,(02)2311-4421,(02)2311-4421,(02)2311-7184,臺北市,中正區,忠孝西路1段1號,121.51934,25.04636,○,○,,,08:30-17:30 ,08:30-17:00 ,,,○,,
10444,000109-9,100009,臺北中山郵局,臺北9支,(02)2542-6403,(02)2542-5934,(02)2567-1440,臺北市,中山區,中山北路1段142號,121.52203,25.05161,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
