area2,mean_price
南區,58476.00121182744
東區,60189.93591224019
西區,69243.06956521739
北區,64822.430014174344
北屯區,63264.97071614961
西屯區,84017.44073510222
南屯區,79813.28077158604
豐原區,61488.990181268884
后里區,57142.945770065075
清水區,44111.93578767123
梧棲區,43860.7108183079
沙鹿區,56711.566783391696
大雅區,61408.02205375603
潭子區,58563.877802690586
大里區,58611.39912387442
烏日區,57708.83667017914
霧峰區,51904.15903307888
太平區,58750.82849056604
大肚區,43908.90723562152
龍井區,51051.09900230238
新社區,54639.40650406504
外埔區,41103.083969465646
神岡區,61091.531942633635
中區,42603.35818908123
大甲區,50640.78055964654
東勢區,42619.87841191067
大安區,38195.794117647056
石岡區,38372.6
