code3	Month	PowerRate	PowerSum	PowerUser	PowerRate_AVG	PowerSum_AVG	PowerUser_AVG
A1000204001	1|2|3|4|5|6	1452783.38|1788934.14|2154967.28|2275017.14|2558210.88|3331538.94	676278|701117|752076|775219|862319|999897	1679|3478|3377|1744|3451|1859	2260241.96	794484.3333	2598
A1000204002	1|2|3|4|5|6	1013025.63|1217178.04|1520610.5|1638560.31|1971518.91|2457031.24	407874|418207|483321|499349|576281|656477	1085|1176|1159|1115|2215|2260	1636320.772	506918.1667	1501.666667
A1000204003	1|2|3|4|5|6	968.8|899.93|1144.43|1277.51|1754.25|2251.37	989|1021|1233|1153|1343|1514	16|17|28|22|31|27	1382.715	1208.833333	23.5
A1000204004	1|2|3|4|5|6	1690640.56|2070433.9|2345633.51|2413031.28|3130956.45|4338149.18	710316|729300|783052|786288|972974|1187830	2039|2360|2161|2210|2322|2394	2664807.48	861626.6667	2247.666667
A1000204007	1|2|3|4|5|6	1050801.72|1299692.0|1398970.5|1266176.6|1763590.99|2274673.57	522700|517637|556112|514555|653225|767885	3377|3707|3587|1787|1883|3737	1508984.23	588685.6667	3013
A1000204006	1|2|3|4|5|6	1562658.9|1838900.0|1974362.7|1864131.61|2665327.97|3444953.96	730230|713915|772614|735967|948267|1124400	5182|2915|5490|2732|2886|5730	2225055.857	837565.5	4155.833333
A1000204005	1|2|3|4|5|6	538.61|2526.35|5168.11|6350.19|9752.95|15799.5	1514|1788|2268|2757|4190|5621	2|26|4|4|13|19	6689.285	3023	11.33333333
A1000204008	1|2|3|4|5|6	308.87|935.78|1438.59|1731.1|2301.52|2587.93	1345|1454|1648|1590|1779|1816	13|24|19|33|25|32	1550.631667	1605.333333	24.33333333
A1000204009	1|2|3|4|5|6	2733969.16|3134622.64|3312395.2|3194099.45|4510389.35|5724307.5	994320|1022356|1094264|1064348|1366774|1619378	2270|2496|2424|2349|2460|2533	3768297.217	1193573.333	2422
A1000204011	1|2|3|4|5|6	768058.33|981012.93|1064909.92|973132.97|1339105.05|1709939.63	412154|412296|445132|410018|516864|607423	2727|2989|2877|1442|2935|2997	1139359.805	467314.5	2661.166667
A1000204010	1|2|3|4|5|6	1304498.69|1570403.06|1736259.51|1694837.96|2325979.78|3039844.4	617314|619801|659980|641123|806776|961875	4288|2482|2411|2323|4635|2503	1945303.9	717811.5	3107
A1000205001	1|2|3|4|5|6	5110.42|5286.67|5659.68|5043.15|5591.17|5543.71	2823|2359|2670|2470|2664|2595	9|20|10|13|25|24	5372.466667	2596.833333	16.83333333
A1000205006	1|2|3|4|5|6	11422.05|11935.57|15661.56|21249.29|28959.13|28528.9	5374|4809|5748|6737|8278|7691	2|18|17|13|25|2	19626.08333	6439.5	12.83333333
A1000205003	1|2|3|4|5|6	2510806.8|2571310.01|2978524.64|2902419.27|3494035.72|4007799.11	905479|781107|901387|869781|1017848|1090719	2750|5086|5282|2694|5047|2549	3077482.592	927720.1667	3901.333333
A1000204012	1|2|3|4|5|6	1495219.41|1752567.22|1943733.36|1801819.25|2520397.14|3345349.82	671668|656383|716136|673225|860541|1025236	1926|2113|2045|1977|2079|2130	2143181.033	767198.1667	2045
A1000204013	1|2|3|4|5|6	683123.08|842757.59|1085674.1|1045234.43|1304225.03|1785685.57	428175|407621|451545|437962|534047|624428	2534|2771|1438|2597|2737|2670	1124449.967	480629.6667	2457.833333
A1000204014	1|2|3|4|5|6	911012.89|813823.67|1322041.39|954245.25|1467713.25|1874775.47	450983|350645|491767|392293|566380|609649	2336|1386|2482|2394|1359|1375	1223935.32	476952.8333	1888.666667
A1000205002	1|2|3|4|5|6	5762136.23|6039323.93|6750553.94|6939656.91|8360114.01|10428712.01	1805608|1717472|1905971|1972301|2221924|2624064	5302|5238|5848|5665|5555|5386	7380082.838	2041223.333	5499
A1000205011	1|2|3|4|5|6	966042.46|1002791.23|1306417.74|1297629.49|1417941.03|1732897.37	543139|464735|520089|507088|541243|585772	2990|2894|1559|1514|1486|2773	1287286.553	527011	2202.666667
A1000205008	1|2|3|4|5|6	1463772.63|1296989.91|1983354.64|1642853.72|2009033.04|2434832.77	655737|505602|688486|596856|708316|737350	3853|3723|3876|3765|1973|3582	1805139.452	648724.5	3462
A1000205005	1|2|3|4|5|6	4282427.11|4879021.48|5084414.67|5265978.04|6219792.85|7288432.63	1472630|1452391|1525577|1568453|1823112|2078958	7260|7024|7324|7083|6965|6742	5503344.463	1653520.167	7066.333333
A1000205004	1|2|3|4|5|6	2463.02|1145.38|675.44|421.2|239.9|285.8	1121|651|540|459|424|404	7|11|17|15|16|8	871.79	599.8333333	12.33333333
A1000205007	1|2|3|4|5|6	5927096.78|6361584.81|6553264.99|6973476.4|8509706.32|10520411.0	1917219|1931891|2014117|2160781|2441880|2891608	4092|3964|4110|4015|3923|3821	7474256.717	2226249.333	3987.5
A1000205009	1|2|3|4|5|6	1926734.68|2010530.39|2396593.22|2311836.52|2701218.83|3569919.02	827580|724214|838511|813407|914362|1058913	2396|2319|2423|2352|2304|2225	2486138.777	862831.1667	2336.5
A1000205012	1|2|3|4|5|6	1243185.45|1212089.86|1689039.03|1437269.82|1666126.71|2328902.73	596888|468297|605300|535088|607195|692508	3290|3177|1721|1706|1665|3044	1596102.267	584212.6667	2433.833333
A1000205010	1|2|3|4|5|6	1154297.98|1259583.81|1660342.86|1565547.52|1715847.78|2429202.2	575716|478235|589154|559767|606170|698097	3262|1694|1758|1705|3123|3034	1630803.692	584523.1667	2429.333333
A1000205013	1|2|3|4|5|6	40326.37|35248.82|48279.39|45719.62|55218.53|52518.34	22594|19749|20486|19043|21809|20642	2|2|2|2|63|2	46218.51167	20720.5	12.16666667
A1000205014	1|2|3|4|5|6	1112039.3|1225120.59|1677494.08|1528631.11|1701604.19|2373927.83	641059|530350|650921|609327|662055|764526	2189|4089|2206|2145|2111|3920	1603136.183	643039.6667	2776.666667
A1000206001	1|2|3|4|5|6	1474246.31|1042514.88|1741358.27|1184765.14|2015674.15|2689308.06	632166|414159|609290|477798|742637|840716	1498|2842|2667|1530|2971|1797	1691311.135	619461	2217.5
