縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數
臺北市,松山區,中崙里,1460,1936882,1327
臺北市,松山區,自強里,3154,4362703,1383
臺北市,松山區,鵬程里,1872,2366765,1264
臺北市,松山區,東榮里,2903,5317004,1832
臺北市,松山區,介壽里,1567,2587268,1651
臺北市,松山區,東勢里,1627,2466380,1516
臺北市,松山區,東光里,2635,3508182,1331
臺北市,松山區,中正里,3525,6189744,1756
臺北市,松山區,復盛里,2307,2689255,1166
臺北市,松山區,復勢里,2333,2924411,1253
臺北市,松山區,美仁里,1263,1855106,1469
臺北市,松山區,吉仁里,1417,1948137,1375
臺北市,松山區,精忠里,1565,3178879,2031
臺北市,松山區,東昌里,932,7141757,7663
臺北市,松山區,福成里,945,1879621,1989
臺北市,松山區,中華里,2307,5999938,2601
臺北市,松山區,吉祥里,3196,4052904,1268
臺北市,松山區,新東里,1751,1995205,1139
臺北市,松山區,三民里,2524,3532903,1400
臺北市,松山區,復建里,1617,2091936,1294
臺北市,松山區,敦化里,2537,4086735,1611
臺北市,松山區,安平里,2905,2893401,996
臺北市,松山區,富錦里,1870,2682674,1435
臺北市,松山區,莊敬里,1726,1755509,1017
臺北市,松山區,新益里,1672,1792536,1072
臺北市,松山區,富泰里,1675,2113931,1262
臺北市,松山區,龍田里,3602,5637273,1565
臺北市,松山區,慈祐里,2418,2358436,975
臺北市,松山區,復源里,1082,1508800,1394
臺北市,松山區,民福里,2333,2552193,1094
臺北市,松山區,松基里,1408,2704953,1921
臺北市,松山區,新聚里,2961,3381590,1142
臺北市,松山區,民有里,3456,6007351,1738
臺北市,松山區,其他,217,223846,1032
臺北市,松山區,合計,70762,107724209,1522
臺北市,大安區,建安里,1954,3258127,1667
臺北市,大安區,通安里,1959,2357644,1203
臺北市,大安區,民輝里,2621,6380283,2434
臺北市,大安區,德安里,2067,3831498,1854
臺北市,大安區,敦安里,2381,4847871,2036
臺北市,大安區,光明里,1254,3641005,2904
臺北市,大安區,永康里,1350,2218199,1643
臺北市,大安區,福住里,2294,4120473,1796
臺北市,大安區,仁愛里,2155,5824490,2703
臺北市,大安區,義村里,2201,3473872,1578
臺北市,大安區,臥龍里,715,1076975,1506
臺北市,大安區,通化里,2111,2419239,1146
臺北市,大安區,龍生里,2390,3881036,1624
臺北市,大安區,新龍里,2413,3415671,1416
臺北市,大安區,住安里,1807,2676588,1481
臺北市,大安區,錦泰里,1338,2094963,1566
臺北市,大安區,建倫里,2388,5686981,2381
臺北市,大安區,錦華里,2037,3485400,1711
臺北市,大安區,光武里,2755,4243570,1540
臺北市,大安區,仁慈里,1985,3843470,1936
臺北市,大安區,黎孝里,2762,2975219,1077
臺北市,大安區,民炤里,3087,6933312,2246
臺北市,大安區,昌隆里,1264,1988242,1573
臺北市,大安區,黎和里,1717,1941253,1131
臺北市,大安區,龍雲里,1830,4298391,2349
臺北市,大安區,芳和里,1973,2307743,1170
臺北市,大安區,龍安里,2330,4937770,2119
臺北市,大安區,義安里,2094,4935855,2357
臺北市,大安區,虎嘯里,1491,2330026,1563
臺北市,大安區,龍淵里,3191,4828529,1513
臺北市,大安區,龍坡里,2112,3508295,1661
臺北市,大安區,龍門里,1601,3094735,1933
臺北市,大安區,敦煌里,2327,3998198,1718
臺北市,大安區,群賢里,2267,3401774,1501
臺北市,大安區,車層里,2448,4280790,1749
臺北市,大安區,光信里,2814,4377007,1555
臺北市,大安區,和安里,2435,8975589,3686
臺北市,大安區,正聲里,1845,3346782,1814
臺北市,大安區,誠安里,1552,1917152,1235
