code3,Month,InvoiceCount,SalesAmount,StoreCount,InvoiceCount_AVG,SalesAmount_AVG,StoreCount_AVG
A1000204001,6|10|2|5|9|12|3|7|11|4|1|8,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000204002,12|7|8|5|11|2|9|10|3|4|6|1,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000204003,,,,,0.0,0.0,0.0
A1000204004,4|12|2|7|11|10|1|6|3|9|5|8,-99|76891|-99|109779|78608|81799|-99|94138|-99|88257|96175|106571,-99|27105148|-99|34502804|26915270|29332642|-99|30469619|-99|31024301|31279043|35434431,-99|5|-99|6|6|6|-99|5|-99|6|5|6,91527.25,30757907.25,5.625
A1000204007,3|7|12|2|11|6|10|1|4|8|9|5,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000204006,2|6|7|8|9|3|4|5|10|11|12|1,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000204005,12|11|10|9,-99|-99|-99|-99,-99|-99|-99|-99,-99|-99|-99|-99,0.0,0.0,0.0
A1000204008,,,,,0.0,0.0,0.0
A1000204009,4|8|3|12|6|10|1|5|2|9|11|7,100053|133728|90819|98102|117170|98584|81788|119994|82883|111202|95747|137372,16546191|20357719|15201812|15152519|16396206|14553734|15457373|17346790|16371716|16578353|14503784|19762220,10|10|9|10|10|10|9|10|9|10|10|10,105620.16666666667,16519034.75,9.75
A1000204011,,,,,0.0,0.0,0.0
A1000204010,7|11|12|5|3|1|4|9|8|2|10|6,45744|32503|34298|39166|35907|31426|37439|37267|45231|32480|34273|38591,5425902|4099089|4458591|4889469|4497380|4280310|4882440|4454055|5203243|4938912|4251269|4798877,6|5|5|5|5|5|5|5|6|5|5|5,37027.083333333336,4681628.083333333,5.166666666666667
A1000205001,,,,,0.0,0.0,0.0
A1000205006,,,,,0.0,0.0,0.0
A1000205003,3|8|12|4|11|1|6|7|2|5|10|9,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000204012,4|12|7|2|6|11|3|1|5|9|8|10,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000204013,,,,,0.0,0.0,0.0
A1000204014,,,,,0.0,0.0,0.0
A1000205002,7|12|11|1|6|5|10|2|3|4|9|8,233659|226084|202377|197839|212811|207826|206590|195757|199389|208095|203895|236800,120306034|139386580|108703946|105940139|101560189|100736916|115155540|122675883|89336126|104848141|102611417|131552508,26|27|27|24|26|26|26|25|25|26|26|26,210926.83333333334,111901118.25,25.833333333333332
A1000205011,1|4|9|3|8|12|10|2|6|5|11|7,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000205008,7|12|5|8|11|2|3|4|1|6|9|10,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000205005,8|3|12|1|6|10|7|11|2|5|4|9,50650|33323|56197|31419|44225|49200|49600|48806|31564|36421|36398|48398,13343788|10010995|16072335|11212673|11119764|13577698|12995270|13704314|12921450|10161858|11854466|11320019,8|6|8|5|7|8|7|8|5|7|6|8,43016.75,12357885.833333334,6.916666666666667
A1000205004,,,,,0.0,0.0,0.0
A1000205007,9|8|12|3|2|7|11|1|4|10|6|5,273521|327253|334137|239515|221352|320363|292004|217922|297911|291853|282218|282668,69844414|84526923|95073086|51548660|53486220|79520768|75786681|45318635|73508893|74638418|63568724|64971555,32|30|32|31|29|30|32|29|30|32|29|30,281726.4166666667,69316081.41666667,30.5
A1000205009,3|5|12|9|10|7|4|8|1|6|11|2,62179|66256|66024|64558|62613|71919|64081|72701|58901|65677|62690|59780,13807870|16029613|14376567|14491806|13709188|16956051|14957303|15881402|15734187|14930436|14381973|15307436,7|7|7|7|7|7|7|7|7|7|7|7,64781.583333333336,15046986.0,7.0
A1000205012,7|12|11|8|10|9,-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000205010,3|6|11|12|1|4|9|2|5|10|8|7,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000205013,,,,,0.0,0.0,0.0
A1000205014,8|7|12|6|11|10|9,-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000206001,12|4|6|8|11|2|5|7|10|1|9|3,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000206002,2|12|4|9|1|10|3|7|11|6|8|5,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000207008,,,,,0.0,0.0,0.0
A1000205015,1|11|12|4|5|8|3|6|10|2|7|9,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000205016,11|12|4|8|6|10|2|5|9|3|1|7,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000207008,,,,,0.0,0.0,0.0
A1000201002,5|12|6|11|7|4|3|2|9|10|1|8,51206|55412|52083|44018|58858|55470|46228|46831|48118|47965|-99|59001,23187235|23760568|23243807|18688455|24862855|24333958|20549570|23035612|20539148|20609832|-99|25620020,6|6|6|6|6|6|6|6|6|6|-99|6,51380.90909090909,22584641.818181816,6.0
A1000201003,9|2|5|10|6|4|8|3|12|1|7|11,46789|43355|49118|45205|48607|45707|50786|45664|45220|45975|51660|45070,119474745|95475969|127957995|131907319|126040324|120199255|95560069|143569788|165802681|186686030|142532519|155250409,10|9|9|10|10|10|10|9|11|9|10|11,46929.666666666664,134204758.58333333,9.833333333333334
A1000201001,12|3|11|4|5|8|7|1|6|2|10|9,120764|118399|119505|122388|128405|134748|135112|111508|125123|109433|120490|124716,61698149|49265549|65564842|55972930|60235745|65806959|62863674|53006722|61024348|56237601|60308776|59898066,7|7|7|7|7|7|7|7|7|7|7|7,122549.25,59323613.416666664,7.0
A1000206003,12,-99,-99,-99,0.0,0.0,0.0
A1000206004,1|11|12|6|5|3|9|8|4|10|2|7,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000201002,5|9|12|2|6|7|11|1|10|3|4|8,51206|48118|55412|46831|52083|58858|44018|-99|47965|46228|55470|59001,23187235|20539148|23760568|23035612|23243807|24862855|18688455|-99|20609832|20549570|24333958|25620020,6|6|6|6|6|6|6|-99|6|6|6|6,51380.90909090909,22584641.818181816,6.0
A1000207002,1|6|7|3|11|2|4|5|8|12|9|10,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000201005,9|1|4|8|12|7|11|6|10|3|2|5,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000207003,,,,,0.0,0.0,0.0
A1000201011,5|7|11|3|1|10|6|12|8|2|4|9,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A1000206005,,,,,0.0,0.0,0.0
