Code3,all_code3,Year,Month,PowerSum,PowerSum_AVG
A1000204001,A1000204001|A1000204001|A1000204001|A1000204001|A1000204001|A1000204001,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,12456|11762|12681|12476|12120|12729,12370.666666666666
A1000204002,A1000204002|A1000204002|A1000204002|A1000204002|A1000204002|A1000204002,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,3302|3083|3128|3154|3350|3466,3247.1666666666665
,,,,,0.0
A1000204004,A1000204004|A1000204004|A1000204004|A1000204004|A1000204004|A1000204004,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,13093|12527|13487|13830|15509|16370,14136.0
A1000204007,A1000204007|A1000204007|A1000204007|A1000204007|A1000204007|A1000204007,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,4782|4369|4746|4735|4923|4920,4745.833333333333
A1000204006,A1000204006|A1000204006|A1000204006|A1000204006|A1000204006|A1000204006,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,17631|16071|17847|17199|15690|14151,16431.5
A1000204005,A1000204005|A1000204005|A1000204005|A1000204005|A1000204005|A1000204005,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,2948|2473|2816|2960|3523|3625,3057.5
,,,,,0.0
A1000204009,A1000204009|A1000204009|A1000204009|A1000204009|A1000204009|A1000204009,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,9890|9263|9431|9426|9685|9923,9603.0
A1000204011,A1000204011|A1000204011|A1000204011|A1000204011|A1000204011|A1000204011,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,3035|2707|3338|3562|4099|3902,3440.5
A1000204010,A1000204010|A1000204010|A1000204010|A1000204010|A1000204010|A1000204010,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,15015|14120|14453|14902|16176|16343,15168.166666666666
A1000205001,A1000205001|A1000205001|A1000205001|A1000205001|A1000205001|A1000205001,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,185|162|148|131|137|129,148.66666666666666
A1000205006,A1000205006|A1000205006|A1000205006|A1000205006|A1000205006|A1000205006,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,60|55|60|54|56|52,56.166666666666664
A1000205003,A1000205003|A1000205003|A1000205003|A1000205003|A1000205003|A1000205003,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,21421|16790|23496|21736|25442|22720,21934.166666666668
A1000204012,A1000204012|A1000204012|A1000204012|A1000204012|A1000204012|A1000204012,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,10265|9504|9908|9571|10678|10403,10054.833333333334
A1000204013,A1000204013|A1000204013|A1000204013|A1000204013|A1000204013|A1000204013,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,8515|7778|8366|8224|8327|8125,8222.5
A1000204014,A1000204014|A1000204014|A1000204014|A1000204014|A1000204014|A1000204014,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,12137|11233|11273|11256|11399|11137,11405.833333333334
A1000205002,A1000205002|A1000205002|A1000205002|A1000205002|A1000205002|A1000205002,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,68610|60359|67181|66890|73951|72302,68215.5
A1000205011,A1000205011|A1000205011|A1000205011|A1000205011|A1000205011|A1000205011,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,10898|9031|10670|10173|11712|11337,10636.833333333334
A1000205008,A1000205008|A1000205008|A1000205008|A1000205008|A1000205008|A1000205008,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,24365|21862|23980|23186|25153|24464,23835.0
A1000205005,A1000205005|A1000205005|A1000205005|A1000205005|A1000205005|A1000205005,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,41092|34668|39223|36893|40653|37834,38393.833333333336
A1000205004,A1000205004|A1000205004|A1000205004|A1000205004|A1000205004|A1000205004,2019|2019|2019|2019|2019|2019,1|2|3|4|5|6,1122|997|1000|889|852|859,953.1666666666666
